id,tier,score,status,category,name,phone,phoneSource,email,emails,emailSource,websiteStatus,website,social,city,region,country,address,hoursRaw,lat,lon,chain,demoBuilt,contactedAt,source,sourceUrl,notes
osm-way-1302700240,B,55,new,salon,Broadway Beauty,,,,,,none,,,London,,,"70-73 The Mall, London, E15 1XQ",,51.5419588,0.000685,false,false,,openstreetmap,https://www.openstreetmap.org/way/1302700240,
osm-way-1302435247,B,55,new,salon,Fashion Tips,,,,,,none,,,London,,,"70-73 The Mall, London, E15 1XQ",,51.5419116,0.0013333,false,false,,openstreetmap,https://www.openstreetmap.org/way/1302435247,
osm-way-1302435288,B,55,new,salon,Heena Beauty,,,,,,none,,,London,,,"70-73 The Mall, London, E15 1XQ",,51.5421357,0.0008811,false,false,,openstreetmap,https://www.openstreetmap.org/way/1302435288,
osm-way-1302569914,B,55,new,salon,Lailia's Boutique,,,,,,none,,,London,,,"70-73 The Mall, London, E15 1XQ",,51.5418443,0.001364,false,false,,openstreetmap,https://www.openstreetmap.org/way/1302569914,
osm-way-1302435283,B,55,new,salon,Lilly Nails,,,,,,none,,,London,,,"70-73 The Mall, London, E15 1XQ",,51.542028,0.0012113,false,false,,openstreetmap,https://www.openstreetmap.org/way/1302435283,
osm-way-1302435265,B,55,new,salon,MS Barber Shop,,,,,,none,,,London,,,"70-73 The Mall, London, E15 1XQ",,51.5419715,0.000647,false,false,,openstreetmap,https://www.openstreetmap.org/way/1302435265,
osm-way-1302435245,B,55,demo,salon,Peaky Barbers,,,,,,none,,,London,,,"70-73 The Mall, London, E15 1XQ",,51.5419343,0.0011858,false,true,,openstreetmap,https://www.openstreetmap.org/way/1302435245,
osm-way-976125881,B,55,new,salon,Stratford Nails,,,,,,none,,,London,,,"40 Warton Road, London, E15 2JS",,51.5368801,-0.0081698,false,false,,openstreetmap,https://www.openstreetmap.org/way/976125881,
osm-node-1322060903,B,55,new,salon,Your Hair and Beauty,,,,,,none,,,London,,GB,"40 Broadway, London, E15 4QS, GB",,51.5408189,0.0009455,false,false,,openstreetmap,https://www.openstreetmap.org/node/1322060903,
osm-node-1322154221,B,53,new,salon,Your Hair & Beauty,,,,,,none,,,,,,20 Broadway,Mo-Sa 09:00-19:30; Su 10:00-18:00,51.5403928,0.0004071,false,false,,openstreetmap,https://www.openstreetmap.org/node/1322154221,
osm-node-1321975604,B,50,new,salon,Bodhi,,,,,,none,,,London,,,"83 The Mall, London, E15 1XQ",,51.5414739,0.0004507,false,false,,openstreetmap,https://www.openstreetmap.org/node/1321975604,
osm-way-1302435289,B,50,new,salon,Illuminé,,,,,,none,,,London,,,"70-73 The Mall, London, E15 1XQ",,51.5421243,0.0008221,false,false,,openstreetmap,https://www.openstreetmap.org/way/1302435289,
osm-node-1322039130,B,49,new,salon,Ali Barber,,,,,,none,,,London,,,"13 The Mall, London",,51.5413424,0.000291,false,false,,openstreetmap,https://www.openstreetmap.org/node/1322039130,
osm-way-1360397314,B,49,new,salon,Beauty Base,,,,,,none,,,London,,,London,,51.5430406,-0.0054479,false,false,,openstreetmap,https://www.openstreetmap.org/way/1360397314,
osm-node-5828117984,B,49,new,salon,DVA Beautique,,,,,,none,,,London,,,"Montfichet Road, London",,51.543263,-0.0058501,false,false,,openstreetmap,https://www.openstreetmap.org/node/5828117984,
osm-node-5828020099,B,49,new,salon,Le Monde Nails,,,,,,none,,,London,,,"Montfichet Road, London",,51.5439092,-0.0075546,false,false,,openstreetmap,https://www.openstreetmap.org/node/5828020099,
osm-way-1302739370,B,49,new,salon,Nails by Angelina,,,,,,none,,,London,,,"61-62 The Mall, London",,51.5421582,0.0002566,false,false,,openstreetmap,https://www.openstreetmap.org/way/1302739370,
osm-way-132072534,B,49,new,salon,Pure Seoul,,,,,,none,,,London,,,London,,51.543261,-0.0050028,false,false,,openstreetmap,https://www.openstreetmap.org/way/132072534,
osm-way-1302739379,B,49,new,salon,Romana Hair,,,,,,none,,,London,,,"61-62 The Mall, London",,51.5421437,0.0003556,false,false,,openstreetmap,https://www.openstreetmap.org/way/1302739379,
osm-way-131682630,B,49,new,salon,Ted's Grooming Saloon,,,,,,none,,,London,,,"Montfichet Road, London",,51.5432642,-0.0064595,false,false,,openstreetmap,https://www.openstreetmap.org/way/131682630,
osm-way-1360397212,B,49,new,salon,The Nail Spa,,,,,,none,,,London,,,London,,51.5430485,-0.007781,false,false,,openstreetmap,https://www.openstreetmap.org/way/1360397212,
osm-way-1302739369,B,49,new,salon,Zee Barbers,,,,,,none,,,London,,,"61-62 The Mall, London",,51.5421817,0.0002838,false,false,,openstreetmap,https://www.openstreetmap.org/way/1302739369,
osm-node-11906538896,B,45,new,salon,Better Brows,,,,,,none,,,,,,,,51.5432103,-0.0052091,false,false,,openstreetmap,https://www.openstreetmap.org/node/11906538896,
osm-way-130987496,B,45,new,salon,Laser Clinics,,,,,,none,,,,,,,,51.5428184,-0.0054357,false,false,,openstreetmap,https://www.openstreetmap.org/way/130987496,
osm-node-1322154177,B,45,new,salon,The Broadway Clinic,,,,,,none,,,,,,16 Broadway,,51.5403124,0.0002988,false,false,,openstreetmap,https://www.openstreetmap.org/node/1322154177,
